tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
23,3b_corte_gradual,1,0.1974,0.2104,0.235,0.235,80,0.4,0,-8201.63,20390.4,12188.77,12.0,90.0
24,3b_corte_gradual,1,0.1986,0.2116,0.235,0.235,80,0.4,0,-8173.45,21120.0,12946.55,12.0,90.0
25,3b_corte_gradual,1,0.1996,0.2127,0.235,0.235,80,0.4,0,-8155.23,21840.0,13684.77,12.0,90.0
26,3b_corte_gradual,1,0.2005,0.2135,0.24,0.24,80,0.4,0,-8128.97,22550.4,14421.43,12.0,90.0
27,3b_corte_gradual,1,0.2012,0.2143,0.24,0.24,80,0.4,0,-8104.08,23251.2,15147.12,12.0,90.0
28,3b_corte_gradual,1,0.2019,0.215,0.24,0.24,80,0.4,0,-8062.6,23942.4,15879.8,12.0,90.0
29,3b_corte_gradual,1,0.2025,0.2025,0.24,0.24,0,0.0,80,-8014.25,24624.0,16609.75,12.0,90.0
30,3b_corte_gradual,1,0.1739,0.1552,0.21,0.14,48,0.24,80,-7872.31,25200.0,17327.69,12.0,90.0
31,3b_corte_gradual,1,0.1576,0.14,0.14,0.1,48,0.24,80,-8415.47,25770.24,17354.77,12.0,90.0
32,3b_corte_gradual,1,0.1426,0.1266,0.105,0.02,48,0.24,80,-8961.95,26334.72,17372.77,12.0,90.0
33,3b_corte_gradual,1,0.1296,0.1155,0.035,0.02,48,0.24,80,-9520.67,26893.44,17372.77,12.0,90.0
34,3b_corte_gradual,1,0.1185,0.1062,0.02,0.01,48,0.24,80,-10073.63,27446.4,17372.77,12.0,90.0
35,3b_corte_gradual,1,0.1066,0.0961,0.01,0.01,48,0.24,80,-10602.82,27993.6,17390.78,12.0,90.0
36,3b_corte_gradual,1,0.0966,0.088,0.01,0.01,48,0.24,80,-11135.26,28535.04,17399.78,12.0,90.0
37,3b_corte_gradual,1,0.0884,0.0833,0.01,0.0,48,0.24,80,-11661.94,29070.72,17408.78,12.0,90.0
38,3b_corte_gradual,1,0.0835,0.0827,0.005,0.0,48,0.24,80,-12182.86,29600.64,17417.78,12.0,90.0
39,3b_corte_gradual,1,0.081,0.084,0.0,0.0,48,0.24,80,-12624.08,30124.8,17500.72,12.0,90.0
40,3b_corte_gradual,1,0.0795,0.0859,0.0,0.0,48,0.24,80,-12974.13,30643.2,17669.07,12.0,90.0
41,3b_corte_gradual,1,0.079,0.0889,0.0,0.0,48,0.24,80,-13206.92,31155.84,17948.92,12.0,90.0
42,3b_corte_gradual,1,0.0813,0.0918,0.0,0.0,48,0.24,80,-13421.81,31662.72,18240.91,12.0,90.0
43,3b_corte_gradual,1,0.0817,0.0925,0.0,0.0,48,0.24,80,-13506.68,32163.84,18657.16,12.0,90.0
44,3b_corte_gradual,1,0.0821,0.0929,0.0,0.0,48,0.24,80,-13556.49,32659.2,19102.71,12.0,90.0
45,3b_corte_gradual,1,0.0823,0.0933,0.0,0.0,48,0.24,80,-13589.57,33148.8,19559.23,12.0,90.0
46,3b_corte_gradual,1,0.0825,0.0939,0.0,0.0,48,0.24,80,-13633.31,33632.64,19999.33,12.0,90.0
47,3b_corte_gradual,1,0.083,0.0945,0.0,0.0,48,0.24,80,-13670.05,34110.72,20440.67,12.0,90.0
48,3b_corte_gradual,1,0.0832,0.0947,0.0,0.0,48,0.24,80,-13681.73,34583.04,20901.31,12.0,90.0
